Custom Field Name,Name,ID,Default,Approver(s)
"projects","0-N/A","9","False",""
"projects","Field","2","False",""
"projects","1022176 - ELEVATE DERM RAPIDS - 2026 - Takeda Pharmaceuticals c/o Impact XM","1022176","False",""
"projects","1022152 - NUTANIX NEXT CONFERENCE - 2026 - On Location (Internal Use)","1022152","False",""
"projects","1022145 - LKQ LEADERSHIP CONFERENCE - 2026 - On Location (Internal Use)","1022145","False",""
"projects","1022140 - SATELLITE - 2026 - Amazon Kupier c/o Impact XM Dayton NJ","1022140","False",""
"projects","1022139 - ULTA BEAUTY FIELD LEADERSHIP CONFERENCE - 2026 - Shark Ninja c/o Vector 5 Collaborative","1022139","False",""
"projects","1022138 - HIMSS - HEALTHCARE INFO AND MANAGEMENT SYSTEMS SOC - 2026 - Suki c/o Southeast Exhibits & Events","1022138","False",""
"projects","1022129 - HMPS - HEALTHCARE MARKETING PHYSICIAN STRATEGIES - 2026 - Definitive Healthcare c/o Corporate Communications","1022129","False",""
"projects","1022128 - Private Hotel Event Intercontinental  - Project 22","1022128","False",""
"projects","1022119 - AAOS - AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS - 2026 - Biostone c/o ELITeXPO","1022119","False",""
"projects","1022117 - MRO AMERICAS - 2026 - Twin MRO C/O Southeast Exhibits","1022117","False",""
"projects","1022114 - MGFA - MYASTHENIA GRAVIS FOUNDATION OF AMERICAN NATL CONF - 2026 - On Location (Internal Use)","1022114","False",""
"projects","1022112 - FDIC - (IND CONV CENTER) FIRE DEPARTMENT INSTRUCTORS CONFERENCE - 2026 - Task Force Tips C/O Southeast Exhibits","1022112","False",""
"projects","1022111 - AOCD - AMERICAN OSTEOPATHIC COLLEGE OF DERMATOLOGY - 2026 - On Location (Internal Use)","1022111","False",""
"projects","1022098 - INS - INFUSION NURSES SOCIETY - 2026 - Alexion Pharmaceuticals c/o Impact XM","1022098","False",""
"projects","1022095 - AOCD - AMERICAN OSTEOPATHIC COLLEGE OF DERMATOLOGY - 2026 - Takeda Pharmaceuticals c/o Impact XM","1022095","False",""
"projects","1022086 - NHC - NATIONAL HURRICANE CONFERENCE - 2026 - On Location (Internal Use)","1022086","False",""
"projects","1022082 - PLRB - PROPERTY LOSS RESEARCH BUREAU - 2026 - On Location (Internal Use)","1022082","False",""
"projects","1022076 - SXSW - 2026 - On Location (Internal Use)","1022076","False",""
"projects","1022073 - FINTECH MEETUP - 2026 - CBE c/o Exhibit Boss","1022073","False",""
"projects","1022070 - SHM CONVERGE - SOCIETY OF HOSPITAL MEDICINE - 2027 - On Location (Internal Use)","1022070","False",""
"projects","1022066 - IIAR NATURAL REFRIGERATION CONFERENCE - 2026 - On Location (Internal Use)","1022066","False",""
